Read_Length Time	Coverage	Method
100bp	43	100K	MIXCR
100bp	34	100K	MIXCR
100bp	16	100K	MIXCR
100bp	20	100K	MIXCR
100bp	30	100K	MIXCR
100bp	34	100K	MIXCR
100bp	29	100K	MIXCR
100bp	29	100K	MIXCR
100bp	36	100K	MIXCR
100bp	19	100K	MIXCR
100bp	55	100K	MIXCR
100bp	34	100K	MIXCR
100bp	17	100K	MIXCR
100bp	19	100K	MIXCR
100bp	38	100K	MIXCR
100bp	37	100K	MIXCR
100bp	37	100K	MIXCR
100bp	19	100K	MIXCR
100bp	26	100K	MIXCR
100bp	16	100K	MIXCR
100bp	25	100K	MIXCR
100bp	31	100K	MIXCR
100bp	16	100K	MIXCR
100bp	16	100K	MIXCR
100bp	15	100K	MIXCR
100bp	32	100K	MIXCR
100bp	35	100K	MIXCR
100bp	19	100K	MIXCR
75bp	14	100K	MIXCR
75bp	31	100K	MIXCR
75bp	31	100K	MIXCR
75bp	31	100K	MIXCR
75bp	31	100K	MIXCR
75bp	31	100K	MIXCR
75bp	31	100K	MIXCR
75bp	29	100K	MIXCR
75bp	29	100K	MIXCR
75bp	29	100K	MIXCR
75bp	30	100K	MIXCR
75bp	14	100K	MIXCR
75bp	30	100K	MIXCR
75bp	31	100K	MIXCR
75bp	30	100K	MIXCR
75bp	30	100K	MIXCR
75bp	29	100K	MIXCR
75bp	29	100K	MIXCR
75bp	30	100K	MIXCR
75bp	30	100K	MIXCR
75bp	30	100K	MIXCR
75bp	30	100K	MIXCR
75bp	14	100K	MIXCR
75bp	29	100K	MIXCR
75bp	30	100K	MIXCR
75bp	29	100K	MIXCR
75bp	30	100K	MIXCR
75bp	30	100K	MIXCR
75bp	30	100K	MIXCR
75bp	30	100K	MIXCR
75bp	37	100K	MIXCR
75bp	38	100K	MIXCR
75bp	37	100K	MIXCR
75bp	14	100K	MIXCR
75bp	37	100K	MIXCR
75bp	14	100K	MIXCR
75bp	20	100K	MIXCR
75bp	21	100K	MIXCR
75bp	21	100K	MIXCR
75bp	21	100K	MIXCR
50bp	27	100K	MIXCR
50bp	31	100K	MIXCR
50bp	31	100K	MIXCR
50bp	31	100K	MIXCR
50bp	31	100K	MIXCR
50bp	31	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	29	100K	MIXCR
50bp	29	100K	MIXCR
50bp	27	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	29	100K	MIXCR
50bp	29	100K	MIXCR
50bp	29	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	27	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	11	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	30	100K	MIXCR
50bp	32	100K	MIXCR
50bp	31	100K	MIXCR
25bp	18	100K	MIXCR
25bp	23	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	23	100K	MIXCR
25bp	18	100K	MIXCR
25bp	23	100K	MIXCR
25bp	23	100K	MIXCR
25bp	23	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	23	100K	MIXCR
25bp	23	100K	MIXCR
25bp	23	100K	MIXCR
25bp	24	100K	MIXCR
25bp	23	100K	MIXCR
25bp	21	100K	MIXCR
25bp	14	100K	MIXCR
25bp	22	100K	MIXCR
25bp	21	100K	MIXCR
25bp	23	100K	MIXCR
25bp	23	100K	MIXCR
25bp	23	100K	MIXCR
25bp	23	100K	MIXCR
25bp	14	100K	MIXCR
25bp	24	100K	MIXCR
25bp	14	100K	MIXCR
25bp	24	100K	MIXCR
25bp	24	100K	MIXCR
25bp	22	100K	MIXCR
25bp	22	100K	MIXCR
25bp	22	100K	MIXCR
100bp	24	100K	BASIC
100bp	25	100K	BASIC
100bp	24	100K	BASIC
100bp	24	100K	BASIC
100bp	26	100K	BASIC
100bp	24	100K	BASIC
100bp	25	100K	BASIC
100bp	24	100K	BASIC
100bp	23	100K	BASIC
100bp	24	100K	BASIC
100bp	22	100K	BASIC
100bp	24	100K	BASIC
100bp	24	100K	BASIC
100bp	23	100K	BASIC
100bp	24	100K	BASIC
100bp	23	100K	BASIC
100bp	26	100K	BASIC
100bp	24	100K	BASIC
100bp	26	100K	BASIC
100bp	26	100K	BASIC
100bp	28	100K	BASIC
100bp	23	100K	BASIC
100bp	24	100K	BASIC
100bp	24	100K	BASIC
100bp	24	100K	BASIC
100bp	25	100K	BASIC
100bp	25	100K	BASIC
100bp	25	100K	BASIC
100bp	24	100K	BASIC
100bp	23	100K	BASIC
100bp	22	100K	BASIC
100bp	22	100K	BASIC
100bp	25	100K	BASIC
100bp	23	100K	BASIC
100bp	24	100K	BASIC
100bp	24	100K	BASIC
100bp	24	100K	BASIC
100bp	25	100K	BASIC
100bp	23	100K	BASIC
100bp	22	100K	BASIC
75bp	19	100K	BASIC
75bp	19	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	21	100K	BASIC
75bp	20	100K	BASIC
75bp	21	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	21	100K	BASIC
75bp	22	100K	BASIC
75bp	21	100K	BASIC
75bp	22	100K	BASIC
75bp	22	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	19	100K	BASIC
75bp	20	100K	BASIC
75bp	19	100K	BASIC
75bp	19	100K	BASIC
75bp	21	100K	BASIC
75bp	19	100K	BASIC
75bp	19	100K	BASIC
75bp	19	100K	BASIC
75bp	21	100K	BASIC
75bp	22	100K	BASIC
75bp	22	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	20	100K	BASIC
75bp	19	100K	BASIC
75bp	20	100K	BASIC
75bp	21	100K	BASIC
50bp	16	100K	BASIC
50bp	17	100K	BASIC
50bp	16	100K	BASIC
50bp	16	100K	BASIC
50bp	17	100K	BASIC
50bp	16	100K	BASIC
50bp	17	100K	BASIC
50bp	17	100K	BASIC
50bp	17	100K	BASIC
50bp	18	100K	BASIC
50bp	16	100K	BASIC
50bp	17	100K	BASIC
50bp	16	100K	BASIC
50bp	16	100K	BASIC
50bp	16	100K	BASIC
50bp	17	100K	BASIC
50bp	16	100K	BASIC
50bp	16	100K	BASIC
50bp	18	100K	BASIC
50bp	18	100K	BASIC
50bp	18	100K	BASIC
50bp	17	100K	BASIC
50bp	17	100K	BASIC
50bp	16	100K	BASIC
50bp	16	100K	BASIC
50bp	17	100K	BASIC
50bp	16	100K	BASIC
50bp	16	100K	BASIC
50bp	18	100K	BASIC
50bp	15	100K	BASIC
50bp	17	100K	BASIC
50bp	16	100K	BASIC
50bp	16	100K	BASIC
50bp	18	100K	BASIC
50bp	18	100K	BASIC
50bp	18	100K	BASIC
50bp	17	100K	BASIC
50bp	17	100K	BASIC
50bp	16	100K	BASIC
50bp	16	100K	BASIC
25bp	11	100K	BASIC
25bp	12	100K	BASIC
25bp	13	100K	BASIC
25bp	12	100K	BASIC
25bp	13	100K	BASIC
25bp	13	100K	BASIC
25bp	12	100K	BASIC
25bp	13	100K	BASIC
25bp	11	100K	BASIC
25bp	11	100K	BASIC
25bp	12	100K	BASIC
25bp	13	100K	BASIC
25bp	13	100K	BASIC
25bp	12	100K	BASIC
25bp	10	100K	BASIC
25bp	10	100K	BASIC
25bp	13	100K	BASIC
25bp	13	100K	BASIC
25bp	13	100K	BASIC
25bp	13	100K	BASIC
25bp	10	100K	BASIC
25bp	13	100K	BASIC
25bp	13	100K	BASIC
25bp	14	100K	BASIC
25bp	12	100K	BASIC
25bp	11	100K	BASIC
25bp	11	100K	BASIC
25bp	10	100K	BASIC
25bp	13	100K	BASIC
25bp	11	100K	BASIC
25bp	11	100K	BASIC
25bp	13	100K	BASIC
25bp	12	100K	BASIC
25bp	11	100K	BASIC
25bp	12	100K	BASIC
25bp	11	100K	BASIC
25bp	11	100K	BASIC
25bp	10	100K	BASIC
25bp	13	100K	BASIC
25bp	10	100K	BASIC
100bp	213	100K	BALDR
100bp	148	100K	BALDR
100bp	198	100K	BALDR
100bp	197	100K	BALDR
100bp	170	100K	BALDR
100bp	157	100K	BALDR
100bp	143	100K	BALDR
100bp	158	100K	BALDR
100bp	83	100K	BALDR
100bp	128	100K	BALDR
100bp	114	100K	BALDR
100bp	182	100K	BALDR
100bp	135	100K	BALDR
100bp	84	100K	BALDR
100bp	123	100K	BALDR
100bp	146	100K	BALDR
100bp	161	100K	BALDR
100bp	149	100K	BALDR
100bp	160	100K	BALDR
100bp	82	100K	BALDR
100bp	149	100K	BALDR
100bp	159	100K	BALDR
100bp	177	100K	BALDR
100bp	134	100K	BALDR
100bp	127	100K	BALDR
100bp	169	100K	BALDR
100bp	112	100K	BALDR
100bp	141	100K	BALDR
100bp	117	100K	BALDR
100bp	110	100K	BALDR
100bp	123	100K	BALDR
100bp	109	100K	BALDR
100bp	90	100K	BALDR
100bp	190	100K	BALDR
100bp	144	100K	BALDR
100bp	193	100K	BALDR
100bp	214	100K	BALDR
100bp	211	100K	BALDR
100bp	207	100K	BALDR
100bp	170	100K	BALDR
75bp	154	100K	BALDR
75bp	105	100K	BALDR
75bp	84	100K	BALDR
75bp	59	100K	BALDR
75bp	62	100K	BALDR
75bp	103	100K	BALDR
75bp	88	100K	BALDR
75bp	68	100K	BALDR
75bp	68	100K	BALDR
75bp	64	100K	BALDR
75bp	163	100K	BALDR
75bp	113	100K	BALDR
75bp	76	100K	BALDR
75bp	62	100K	BALDR
75bp	74	100K	BALDR
75bp	99	100K	BALDR
75bp	147	100K	BALDR
75bp	163	100K	BALDR
75bp	162	100K	BALDR
75bp	79	100K	BALDR
75bp	137	100K	BALDR
75bp	100	100K	BALDR
75bp	65	100K	BALDR
75bp	77	100K	BALDR
75bp	104	100K	BALDR
75bp	82	100K	BALDR
75bp	109	100K	BALDR
75bp	167	100K	BALDR
75bp	94	100K	BALDR
75bp	101	100K	BALDR
75bp	145	100K	BALDR
75bp	100	100K	BALDR
75bp	127	100K	BALDR
75bp	155	100K	BALDR
75bp	151	100K	BALDR
75bp	102	100K	BALDR
75bp	125	100K	BALDR
75bp	77	100K	BALDR
75bp	72	100K	BALDR
75bp	117	100K	BALDR
50bp	107	100K	BALDR
50bp	61	100K	BALDR
50bp	75	100K	BALDR
50bp	72	100K	BALDR
50bp	87	100K	BALDR
50bp	76	100K	BALDR
50bp	45	100K	BALDR
50bp	77	100K	BALDR
50bp	72	100K	BALDR
50bp	73	100K	BALDR
50bp	115	100K	BALDR
50bp	84	100K	BALDR
50bp	41	100K	BALDR
50bp	46	100K	BALDR
50bp	67	100K	BALDR
50bp	76	100K	BALDR
50bp	97	100K	BALDR
50bp	59	100K	BALDR
50bp	58	100K	BALDR
50bp	41	100K	BALDR
50bp	59	100K	BALDR
50bp	94	100K	BALDR
50bp	68	100K	BALDR
50bp	39	100K	BALDR
50bp	50	100K	BALDR
50bp	43	100K	BALDR
50bp	99	100K	BALDR
50bp	75	100K	BALDR
50bp	76	100K	BALDR
50bp	62	100K	BALDR
50bp	86	100K	BALDR
50bp	2070	100K	BALDR
50bp	2013	100K	BALDR
50bp	63	100K	BALDR
50bp	62	100K	BALDR
50bp	52	100K	BALDR
50bp	86	100K	BALDR
50bp	49	100K	BALDR
50bp	46	100K	BALDR
50bp	69	100K	BALDR
25bp	126	100K	BALDR
25bp	25	100K	BALDR
25bp	85	100K	BALDR
25bp	26	100K	BALDR
25bp	106	100K	BALDR
25bp	27	100K	BALDR
25bp	28	100K	BALDR
25bp	28	100K	BALDR
25bp	26	100K	BALDR
25bp	25	100K	BALDR
25bp	33	100K	BALDR
25bp	32	100K	BALDR
25bp	27	100K	BALDR
25bp	26	100K	BALDR
25bp	65	100K	BALDR
25bp	27	100K	BALDR
25bp	26	100K	BALDR
25bp	26	100K	BALDR
25bp	27	100K	BALDR
25bp	25	100K	BALDR
25bp	54	100K	BALDR
25bp	23	100K	BALDR
25bp	25	100K	BALDR
25bp	31	100K	BALDR
25bp	24	100K	BALDR
25bp	39	100K	BALDR
25bp	28	100K	BALDR
25bp	60	100K	BALDR
25bp	38	100K	BALDR
25bp	26	100K	BALDR
25bp	41	100K	BALDR
25bp	53	100K	BALDR
25bp	26	100K	BALDR
25bp	79	100K	BALDR
25bp	24	100K	BALDR
25bp	30	100K	BALDR
25bp	26	100K	BALDR
25bp	28	100K	BALDR
25bp	84	100K	BALDR
25bp	61	100K	BALDR
100bp	800	100K	VDJpuzzle
100bp	790	100K	VDJpuzzle
100bp	880	100K	VDJpuzzle
100bp	786	100K	VDJpuzzle
75bp	530	100K	VDJpuzzle
75bp	519	100K	VDJpuzzle
75bp	533	100K	VDJpuzzle
75bp	529	100K	VDJpuzzle
75bp	562	100K	VDJpuzzle
50bp	650	100K	VDJpuzzle
50bp	645	100K	VDJpuzzle
50bp	670	100K	VDJpuzzle
50bp	620	100K	VDJpuzzle
50bp	664	100K	VDJpuzzle
25bp	530	100K	VDJpuzzle
25bp	525	100K	VDJpuzzle
25bp	540	100K	VDJpuzzle
25bp	539	100K	VDJpuzzle
25bp	550	100K	VDJpuzzle
100bp	9	100K	TRUST4
100bp	15	100K	TRUST4
100bp	14	100K	TRUST4
100bp	13	100K	TRUST4
100bp	15	100K	TRUST4
100bp	14	100K	TRUST4
100bp	14	100K	TRUST4
100bp	12	100K	TRUST4
100bp	17	100K	TRUST4
100bp	14	100K	TRUST4
100bp	13	100K	TRUST4
100bp	14	100K	TRUST4
100bp	13	100K	TRUST4
100bp	20	100K	TRUST4
100bp	12	100K	TRUST4
100bp	12	100K	TRUST4
100bp	13	100K	TRUST4
100bp	19	100K	TRUST4
100bp	8	100K	TRUST4
100bp	13	100K	TRUST4
100bp	13	100K	TRUST4
100bp	15	100K	TRUST4
100bp	15	100K	TRUST4
100bp	11	100K	TRUST4
100bp	11	100K	TRUST4
100bp	13	100K	TRUST4
100bp	14	100K	TRUST4
100bp	10	100K	TRUST4
100bp	13	100K	TRUST4
100bp	14	100K	TRUST4
100bp	12	100K	TRUST4
100bp	13	100K	TRUST4
75bp	58	100K	TRUST4
75bp	10	100K	TRUST4
75bp	22	100K	TRUST4
75bp	34	100K	TRUST4
75bp	48	100K	TRUST4
75bp	2	100K	TRUST4
75bp	17	100K	TRUST4
75bp	39	100K	TRUST4
75bp	2	100K	TRUST4
75bp	25	100K	TRUST4
75bp	48	100K	TRUST4
75bp	14	100K	TRUST4
75bp	35	100K	TRUST4
75bp	56	100K	TRUST4
75bp	19	100K	TRUST4
75bp	45	100K	TRUST4
75bp	8	100K	TRUST4
75bp	28	100K	TRUST4
75bp	52	100K	TRUST4
75bp	17	100K	TRUST4
75bp	37	100K	TRUST4
75bp	1	100K	TRUST4
75bp	23	100K	TRUST4
75bp	46	100K	TRUST4
75bp	8	100K	TRUST4
75bp	29	100K	TRUST4
75bp	51	100K	TRUST4
75bp	14	100K	TRUST4
75bp	34	100K	TRUST4
75bp	55	100K	TRUST4
75bp	18	100K	TRUST4
75bp	39	100K	TRUST4
50bp	18	100K	TRUST4
50bp	15	100K	TRUST4
50bp	18	100K	TRUST4
50bp	17	100K	TRUST4
50bp	18	100K	TRUST4
50bp	16	100K	TRUST4
50bp	16	100K	TRUST4
50bp	16	100K	TRUST4
50bp	19	100K	TRUST4
50bp	18	100K	TRUST4
50bp	17	100K	TRUST4
50bp	17	100K	TRUST4
50bp	17	100K	TRUST4
50bp	19	100K	TRUST4
50bp	16	100K	TRUST4
50bp	17	100K	TRUST4
50bp	16	100K	TRUST4
50bp	17	100K	TRUST4
50bp	17	100K	TRUST4
50bp	16	100K	TRUST4
50bp	16	100K	TRUST4
50bp	15	100K	TRUST4
50bp	16	100K	TRUST4
50bp	18	100K	TRUST4
50bp	16	100K	TRUST4
50bp	14	100K	TRUST4
50bp	16	100K	TRUST4
50bp	18	100K	TRUST4
50bp	18	100K	TRUST4
50bp	15	100K	TRUST4
50bp	18	100K	TRUST4
50bp	14	100K	TRUST4
25bp	2	100K	TRUST4
25bp	3	100K	TRUST4
25bp	4	100K	TRUST4
25bp	3	100K	TRUST4
25bp	4	100K	TRUST4
25bp	2	100K	TRUST4
25bp	4	100K	TRUST4
25bp	2	100K	TRUST4
25bp	3	100K	TRUST4
25bp	3	100K	TRUST4
25bp	3	100K	TRUST4
25bp	3	100K	TRUST4
25bp	4	100K	TRUST4
25bp	3	100K	TRUST4
25bp	2	100K	TRUST4
25bp	3	100K	TRUST4
25bp	2	100K	TRUST4
25bp	3	100K	TRUST4
25bp	2	100K	TRUST4
25bp	2	100K	TRUST4
25bp	2	100K	TRUST4
25bp	3	100K	TRUST4
25bp	4	100K	TRUST4
25bp	4	100K	TRUST4
25bp	3	100K	TRUST4
25bp	2	100K	TRUST4
25bp	2	100K	TRUST4
25bp	2	100K	TRUST4
25bp	2	100K	TRUST4
25bp	1	100K	TRUST4
25bp	4	100K	TRUST4
25bp	2	100K	TRUST4
25bp	2	100K	TRUST4
25bp	3	100K	TRUST4
25bp	4	100K	TRUST4
25bp	3	100K	TRUST4
25bp	2	100K	TRUST4
25bp	3	100K	TRUST4
25bp	4	100K	TRUST4
25bp	3	100K	TRUST4
100bp	296	250K	BRACER
100bp	632	250K	BRACER
100bp	624	250K	BRACER
100bp	699	250K	BRACER
100bp	697	250K	BRACER
100bp	594	250K	BRACER
100bp	699	250K	BRACER
100bp	703	250K	BRACER
100bp	596	250K	BRACER
100bp	700	250K	BRACER
100bp	590	250K	BRACER
100bp	676	250K	BRACER
100bp	701	250K	BRACER
100bp	598	250K	BRACER
100bp	703	250K	BRACER
100bp	707	250K	BRACER
100bp	716	250K	BRACER
100bp	722	250K	BRACER
100bp	609	250K	BRACER
100bp	587	250K	BRACER
100bp	604	250K	BRACER
100bp	590	250K	BRACER
100bp	673	250K	BRACER
100bp	597	250K	BRACER
100bp	623	250K	BRACER
100bp	594	250K	BRACER
100bp	598	250K	BRACER
100bp	596	250K	BRACER
100bp	588	250K	BRACER
100bp	605	250K	BRACER
100bp	618	250K	BRACER
100bp	600	250K	BRACER
100bp	602	250K	BRACER
100bp	604	250K	BRACER
100bp	591	250K	BRACER
100bp	592	250K	BRACER
100bp	600	250K	BRACER
100bp	592	250K	BRACER
100bp	640	250K	BRACER
100bp	661	250K	BRACER
75bp	630	250K	BRACER
75bp	707	250K	BRACER
75bp	632	250K	BRACER
75bp	649	250K	BRACER
75bp	613	250K	BRACER
75bp	612	250K	BRACER
75bp	704	250K	BRACER
75bp	705	250K	BRACER
75bp	643	250K	BRACER
75bp	630	250K	BRACER
75bp	687	250K	BRACER
75bp	639	250K	BRACER
75bp	687	250K	BRACER
75bp	716	250K	BRACER
75bp	719	250K	BRACER
75bp	636	250K	BRACER
75bp	631	250K	BRACER
75bp	624	250K	BRACER
75bp	644	250K	BRACER
75bp	715	250K	BRACER
75bp	714	250K	BRACER
75bp	708	250K	BRACER
75bp	651	250K	BRACER
75bp	702	250K	BRACER
75bp	711	250K	BRACER
75bp	710	250K	BRACER
75bp	611	250K	BRACER
75bp	614	250K	BRACER
75bp	575	250K	BRACER
75bp	608	250K	BRACER
75bp	611	250K	BRACER
75bp	586	250K	BRACER
75bp	618	250K	BRACER
75bp	662	250K	BRACER
75bp	608	250K	BRACER
75bp	647	250K	BRACER
75bp	642	250K	BRACER
75bp	697	250K	BRACER
75bp	696	250K	BRACER
75bp	707	250K	BRACER
50bp	673	250K	BRACER
50bp	682	250K	BRACER
50bp	620	250K	BRACER
50bp	660	250K	BRACER
50bp	691	250K	BRACER
50bp	673	250K	BRACER
50bp	667	250K	BRACER
50bp	607	250K	BRACER
50bp	639	250K	BRACER
50bp	640	250K	BRACER
50bp	662	250K	BRACER
50bp	674	250K	BRACER
50bp	573	250K	BRACER
50bp	603	250K	BRACER
50bp	586	250K	BRACER
50bp	663	250K	BRACER
50bp	742	250K	BRACER
50bp	650	250K	BRACER
50bp	666	250K	BRACER
50bp	667	250K	BRACER
50bp	620	250K	BRACER
50bp	582	250K	BRACER
50bp	670	250K	BRACER
50bp	633	250K	BRACER
50bp	696	250K	BRACER
50bp	662	250K	BRACER
50bp	693	250K	BRACER
50bp	680	250K	BRACER
50bp	681	250K	BRACER
50bp	687	250K	BRACER
50bp	686	250K	BRACER
50bp	682	250K	BRACER
50bp	691	250K	BRACER
50bp	680	250K	BRACER
50bp	682	250K	BRACER
50bp	678	250K	BRACER
50bp	681	250K	BRACER
50bp	665	250K	BRACER
50bp	676	250K	BRACER
50bp	693	250K	BRACER
25bp	41	250K	BRACER
25bp	41	250K	BRACER
25bp	43	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
25bp	43	250K	BRACER
25bp	43	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
25bp	41	250K	BRACER
25bp	41	250K	BRACER
25bp	41	250K	BRACER
25bp	43	250K	BRACER
25bp	42	250K	BRACER
25bp	41	250K	BRACER
25bp	43	250K	BRACER
25bp	40	250K	BRACER
25bp	40	250K	BRACER
25bp	41	250K	BRACER
25bp	43	250K	BRACER
25bp	41	250K	BRACER
25bp	41	250K	BRACER
25bp	41	250K	BRACER
25bp	41	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
25bp	41	250K	BRACER
25bp	43	250K	BRACER
25bp	41	250K	BRACER
25bp	41	250K	BRACER
25bp	42	250K	BRACER
25bp	41	250K	BRACER
25bp	41	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
25bp	42	250K	BRACER
100bp	62	250K	MIXCR
100bp	82	250K	MIXCR
100bp	76	250K	MIXCR
100bp	58	250K	MIXCR
100bp	58	250K	MIXCR
100bp	75	250K	MIXCR
100bp	46	250K	MIXCR
100bp	45	250K	MIXCR
100bp	31	250K	MIXCR
100bp	49	250K	MIXCR
100bp	53	250K	MIXCR
100bp	58	250K	MIXCR
100bp	53	250K	MIXCR
100bp	89	250K	MIXCR
100bp	41	250K	MIXCR
100bp	89	250K	MIXCR
100bp	62	250K	MIXCR
100bp	86	250K	MIXCR
100bp	84	250K	MIXCR
100bp	47	250K	MIXCR
100bp	84	250K	MIXCR
100bp	91	250K	MIXCR
100bp	80	250K	MIXCR
100bp	78	250K	MIXCR
100bp	94	250K	MIXCR
100bp	92	250K	MIXCR
100bp	81	250K	MIXCR
100bp	45	250K	MIXCR
100bp	74	250K	MIXCR
100bp	59	250K	MIXCR
100bp	60	250K	MIXCR
100bp	70	250K	MIXCR
100bp	71	250K	MIXCR
100bp	83	250K	MIXCR
100bp	70	250K	MIXCR
100bp	32	250K	MIXCR
100bp	81	250K	MIXCR
100bp	89	250K	MIXCR
100bp	87	250K	MIXCR
100bp	82	250K	MIXCR
75bp	46	250K	MIXCR
75bp	78	250K	MIXCR
75bp	78	250K	MIXCR
75bp	78	250K	MIXCR
75bp	78	250K	MIXCR
75bp	78	250K	MIXCR
75bp	77	250K	MIXCR
75bp	77	250K	MIXCR
75bp	77	250K	MIXCR
75bp	77	250K	MIXCR
75bp	77	250K	MIXCR
75bp	45	250K	MIXCR
75bp	76	250K	MIXCR
75bp	77	250K	MIXCR
75bp	77	250K	MIXCR
75bp	77	250K	MIXCR
75bp	76	250K	MIXCR
75bp	77	250K	MIXCR
75bp	77	250K	MIXCR
75bp	79	250K	MIXCR
75bp	79	250K	MIXCR
75bp	79	250K	MIXCR
75bp	76	250K	MIXCR
75bp	78	250K	MIXCR
75bp	79	250K	MIXCR
75bp	78	250K	MIXCR
75bp	79	250K	MIXCR
75bp	78	250K	MIXCR
75bp	78	250K	MIXCR
75bp	79	250K	MIXCR
75bp	79	250K	MIXCR
75bp	78	250K	MIXCR
75bp	42	250K	MIXCR
75bp	76	250K	MIXCR
75bp	42	250K	MIXCR
75bp	77	250K	MIXCR
75bp	76	250K	MIXCR
75bp	78	250K	MIXCR
75bp	77	250K	MIXCR
75bp	77	250K	MIXCR
50bp	20	250K	MIXCR
50bp	32	250K	MIXCR
50bp	51	250K	MIXCR
50bp	51	250K	MIXCR
50bp	51	250K	MIXCR
50bp	49	250K	MIXCR
50bp	49	250K	MIXCR
50bp	48	250K	MIXCR
50bp	46	250K	MIXCR
50bp	46	250K	MIXCR
50bp	46	250K	MIXCR
50bp	19	250K	MIXCR
50bp	47	250K	MIXCR
50bp	47	250K	MIXCR
50bp	47	250K	MIXCR
50bp	46	250K	MIXCR
50bp	46	250K	MIXCR
50bp	46	250K	MIXCR
50bp	48	250K	MIXCR
50bp	48	250K	MIXCR
50bp	48	250K	MIXCR
50bp	59	250K	MIXCR
50bp	33	250K	MIXCR
50bp	59	250K	MIXCR
50bp	59	250K	MIXCR
50bp	58	250K	MIXCR
50bp	61	250K	MIXCR
50bp	60	250K	MIXCR
50bp	60	250K	MIXCR
50bp	60	250K	MIXCR
50bp	61	250K	MIXCR
50bp	60	250K	MIXCR
50bp	61	250K	MIXCR
50bp	33	250K	MIXCR
50bp	60	250K	MIXCR
50bp	32	250K	MIXCR
50bp	32	250K	MIXCR
50bp	34	250K	MIXCR
50bp	34	250K	MIXCR
50bp	32	250K	MIXCR
25bp	14	250K	MIXCR
25bp	34	250K	MIXCR
25bp	34	250K	MIXCR
25bp	34	250K	MIXCR
25bp	35	250K	MIXCR
25bp	35	250K	MIXCR
25bp	34	250K	MIXCR
25bp	34	250K	MIXCR
25bp	34	250K	MIXCR
25bp	32	250K	MIXCR
25bp	33	250K	MIXCR
25bp	24	250K	MIXCR
25bp	33	250K	MIXCR
25bp	33	250K	MIXCR
25bp	33	250K	MIXCR
25bp	33	250K	MIXCR
25bp	33	250K	MIXCR
25bp	33	250K	MIXCR
25bp	33	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	24	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	42	250K	MIXCR
25bp	23	250K	MIXCR
25bp	24	250K	MIXCR
25bp	23	250K	MIXCR
25bp	24	250K	MIXCR
25bp	34	250K	MIXCR
25bp	34	250K	MIXCR
25bp	34	250K	MIXCR
25bp	34	250K	MIXCR
100bp	56	250K	BASIC
100bp	61	250K	BASIC
100bp	60	250K	BASIC
100bp	61	250K	BASIC
100bp	66	250K	BASIC
100bp	64	250K	BASIC
100bp	59	250K	BASIC
100bp	62	250K	BASIC
100bp	61	250K	BASIC
100bp	57	250K	BASIC
100bp	57	250K	BASIC
100bp	60	250K	BASIC
100bp	59	250K	BASIC
100bp	57	250K	BASIC
100bp	62	250K	BASIC
100bp	53	250K	BASIC
100bp	59	250K	BASIC
100bp	57	250K	BASIC
