Read_Length Time	Coverage	Method
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	19	50K	MIXCR
75bp	19	50K	MIXCR
75bp	23	50K	MIXCR
75bp	19	50K	MIXCR
75bp	24	50K	MIXCR
75bp	23	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
75bp	24	50K	MIXCR
50bp	16	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	19	50K	MIXCR
50bp	19	50K	MIXCR
50bp	11	50K	MIXCR
50bp	18	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	16	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	21	50K	MIXCR
50bp	20	50K	MIXCR
50bp	16	50K	MIXCR
50bp	20	50K	MIXCR
50bp	21	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	9	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
50bp	20	50K	MIXCR
25bp	17	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	16	50K	MIXCR
25bp	17	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	17	50K	MIXCR
25bp	16	50K	MIXCR
25bp	17	50K	MIXCR
25bp	17	50K	MIXCR
25bp	11	50K	MIXCR
25bp	16	50K	MIXCR
25bp	11	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
25bp	16	50K	MIXCR
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	14	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	14	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
100bp	13	50K	BASIC
100bp	13	50K	BASIC
100bp	14	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	11	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	11	50K	BASIC
75bp	11	50K	BASIC
75bp	11	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	9	50K	BASIC
75bp	11	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	11	50K	BASIC
75bp	10	50K	BASIC
75bp	10	50K	BASIC
75bp	9	50K	BASIC
75bp	11	50K	BASIC
75bp	10	50K	BASIC
75bp	9	50K	BASIC
75bp	10	50K	BASIC
75bp	11	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	9	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	9	50K	BASIC
50bp	8	50K	BASIC
50bp	9	50K	BASIC
50bp	7	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	9	50K	BASIC
50bp	9	50K	BASIC
50bp	9	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	9	50K	BASIC
50bp	9	50K	BASIC
50bp	7	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	9	50K	BASIC
50bp	7	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
50bp	8	50K	BASIC
25bp	5	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	5	50K	BASIC
25bp	7	50K	BASIC
25bp	6	50K	BASIC
25bp	5	50K	BASIC
25bp	5	50K	BASIC
25bp	6	50K	BASIC
25bp	5	50K	BASIC
25bp	5	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	5	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	5	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	4	50K	BASIC
25bp	6	50K	BASIC
25bp	5	50K	BASIC
25bp	5	50K	BASIC
25bp	6	50K	BASIC
25bp	5	50K	BASIC
25bp	5	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	6	50K	BASIC
25bp	4	50K	BASIC
25bp	5	50K	BASIC
100bp	97	50K	BALDR
100bp	121	50K	BALDR
100bp	168	50K	BALDR
100bp	62	50K	BALDR
100bp	82	50K	BALDR
100bp	113	50K	BALDR
100bp	53	50K	BALDR
100bp	61	50K	BALDR
100bp	58	50K	BALDR
100bp	90	50K	BALDR
100bp	74	50K	BALDR
100bp	53	50K	BALDR
100bp	156	50K	BALDR
100bp	110	50K	BALDR
100bp	51	50K	BALDR
100bp	75	50K	BALDR
100bp	180	50K	BALDR
100bp	140	50K	BALDR
100bp	176	50K	BALDR
100bp	75	50K	BALDR
100bp	66	50K	BALDR
100bp	164	50K	BALDR
100bp	184	50K	BALDR
100bp	134	50K	BALDR
100bp	114	50K	BALDR
100bp	94	50K	BALDR
100bp	136	50K	BALDR
100bp	235	50K	BALDR
100bp	67	50K	BALDR
100bp	142	50K	BALDR
100bp	123	50K	BALDR
100bp	160	50K	BALDR
100bp	132	50K	BALDR
100bp	179	50K	BALDR
100bp	136	50K	BALDR
100bp	184	50K	BALDR
100bp	93	50K	BALDR
100bp	55	50K	BALDR
100bp	144	50K	BALDR
100bp	56	50K	BALDR
75bp	141	50K	BALDR
75bp	62	50K	BALDR
75bp	111	50K	BALDR
75bp	52	50K	BALDR
75bp	45	50K	BALDR
75bp	90	50K	BALDR
75bp	51	50K	BALDR
75bp	38	50K	BALDR
75bp	58	50K	BALDR
75bp	89	50K	BALDR
75bp	89	50K	BALDR
75bp	124	50K	BALDR
75bp	39	50K	BALDR
